,order_date,sku,online_brand,online_name,online_category,online_subcategory,total_qty_ordered,total_qty_returned,total_qty_refunded,total_qty_canceled,unit_original_price,unit_sale_price_exc_vat,total_nmv_exc_vat,discount_amt_bfr_CR,total_discount_amount,total_discount_coupon,total_discount_on_top,total_amount_the1_reedeem,GP
3061,5/5/2022,87747546,VICHY,Liftactiv Specialist B3 Serum Dark Spots & Wrinkles 30 mL,tion-campaign,flash-deal-6-jul-22,7,0,0,4,1700,1429.91,3617.49,1725.84,672.24,424.6,104.64,0,765.54
3062,17/10/2021,874982,B2S,SANRIO ปากกากดเจลลบได้สีน้ำเงิน 0.5 มม SANRIO:Little Twin Stars,jewelry-watches,pens,1,0,0,0,69,56.07,56.07,0,0,NA,NA,0,8.7
3063,17/1/2022,85367838,CONVERSE,Chuck Baseball Cap 1508474F1BRXX Brown,men,hats-caps,1,0,0,0,490,320.56,320.56,0,0,NA,NA,0,48.08
3064,29/9/2021,28219323,INVISIBOBBLE,Sprunchie Hair Tie,women,hat-hair-accessories,2,0,0,1,255,238.32,238.32,0,0,NA,NA,0,90.56
3065,19/4/2022,270696,APPLE,"iPhone 13 Pro Max (512GB, Gold)",gadgets-tech,mobiles-tablets,3,0,0,2,54900,51308.41,26401.87,24906.54,24906.54,NA,NA,26650,1125.45
3066,9/10/2021,534657,ADIDAS,ADIDAS TRAINING FreeLift Sport Ultimate Heather Tee Men,sports,apparels,2,0,0,0,800,246.73,493.46,0,0,NA,NA,0,63.36
3067,26/11/2021,1083545,BIOTHERM,HOMME AQUAPOWER Oligo-Thermal Fresh Gel Ultra Cleansing 125 mL เจลล้างหน้า HOMME AQUAPOWER Oligo-Thermal Fresh Gel Ultra Cleansing ขนาด 125 มล.,beauty,mens-grooming,2,0,0,0,1100,925.23,1778.29,72.17,72.17,32.96,16.48,24.33,349.41
3068,26/2/2022,78026575,NESTLE,Dolce Gusto Starbucks Caffè Latte 12 Caps. 3x102 g Piggy Pink,home,coffee-1,2,0,0,0,329,307.48,614.96,0,0,NA,NA,0,92.25
3069,1/9/2021,30539792,SULWHASOO,Overnight Vitalizing Mask 120 mL,beauty,mens-grooming,2,0,0,0,1700,1429.91,2716.83,142.99,142.99,NA,NA,0,832.53
3070,12/9/2021,78285262,CERTAINTY,Certainty Tape Super Save Box Size L 96 Pcs.,home,eldery-care,6,0,0,0,1599,1425.23,7742.03,809.35,809.35,NA,NA,0,564.65
3071,4/11/2021,70653687,SANRIO,ผ้าพันคอ KT MINI HEARTS 95X95,women,scarves-gloves,1,0,0,0,995,929.91,416.41,513.5,513.5,491.58,21.92,0,216.47
3072,16/10/2021,86381581,GIORGIO_ARMANI,ADGH DEODORANT 75,beauty,mens-grooming,2,0,0,0,1300,1093.46,2132.25,54.67,54.67,0,54.67,0,2132.25
3073,13/4/2022,10298,MARCO POLO,Brown Marco Polo XS-B9102 BR,women,eyewear,1,0,0,0,8290,887.85,873.83,14.02,14.02,NA,NA,15,256.5
3074,13/9/2021,16814462,CERTAINTY,กางเกงอนามัย Day Pants ไซส์ L จำนวน 34 ชิ้น x 4 แพ็ค (ยกลัง),home,eldery-care,4,0,0,0,1799,1635.51,4950.85,1591.19,1591.19,588.79,431.61,400.76,-569.59
3075,3/5/2022,82399818,SANRIO,กระเป๋าโท้ทL KT TOTE GEO BE,tion-campaign,flash-deal-6-jul-22,1,0,0,0,2150,1607.48,1607.48,0,0,NA,NA,0,1185.21
3076,4/9/2021,15477408,INVISIBOBBLE,Power Hair Tie,women,hat-hair-accessories,1,0,0,0,255,214.95,214.95,0,0,NA,NA,0,92.44
3077,4/4/2022,86456845,BIOTHERM,CERA REPAIR CR 50ML,tion-campaign,flash-deal-3-jul-22,5,0,0,0,2100,1668.22,8270.06,71.04,71.04,0,71.04,0,1450.46
3078,27/4/2022,84028723,XIAOMI,MI SMART BAND 6,gadgets-tech,wearable-gadgets,2,0,0,0,3099,1112.15,2221.07,3.23,3.23,NA,NA,3.46,219.77
3079,7/6/2022,33021232,la_roche_posay_online,EFFACLAR SERUM 30 ML,tion-campaign,flash-deal-2-jul-22,3,0,0,0,1300,911.21,2642.51,91.12,91.12,NA,NA,0,871.1
3080,20/9/2021,84187987,marks___spencer_online,American Hard Gums,home,groceries-2,1,0,0,0,119,111.21,81.85,29.36,29.36,NA,NA,31.42,51.12
3081,12/6/2022,23726574,CENTRAL HOME,SPIN MOP MICROFIBER,tion-campaign,flash-deal-5-jul-22,1,0,0,0,2290,1205.61,1205.61,0,0,NA,NA,0,624.45
3082,16/1/2022,83547744,SKULLCANDY,Skullcandy Indy EVO TRUE Earbuds S2IVW-N740 Black,gadgets-tech,audio-hifi,1,0,0,0,4390,3074.77,3074.77,0,0,NA,NA,0,988.2
3083,12/9/2021,877755,HCare,HCare Go Smartwatch - Matte Black,tion-campaign,flash-deal-2-jul-22,1,0,0,0,3990,1766.36,1766.36,0,0,NA,NA,0,510.3
3084,24/9/2021,33798196,marks___spencer_online,Harvard Vetiver Post Shave Balm T224141M 100 mL,beauty,mens-grooming,1,0,0,0,290,271.03,271.03,0,0,NA,NA,0,271.03
3085,12/9/2021,35795773,HAVEN,Memory Foam Gel Neck Pillow,sports,accessories,2,0,0,0,595,275.7,523.82,27.58,27.58,0,27.58,0,244.54
3086,6/1/2022,347233,RESTER,White Foot Massage iStepp E-8099,tion-campaign,flash-deal-6-jul-22,3,0,0,0,9900,2850.47,5700.94,2850.47,2850.47,NA,NA,3050,3582.47
3087,22/5/2022,20575458,MANAMI,มานามิ มูราซากิ บอดี้ วอช,kids,maternity,1,0,0,0,990,925.23,925.23,0,0,NA,NA,0,393.13
3088,23/2/2022,32089769,Microlife,Fingertip Pulse Oximeter OXY 200 White,home,eldery-care,2,0,0,0,1850,1542.06,3084.12,0,0,NA,NA,0,771.04
3089,25/9/2021,16273740,PiPPER STANDARD,น้ำยาล้างจานถุงเติมกลิ่นซิตรัส,tion-campaign,flash-deal-5-jul-22,2,0,0,0,169,129.91,259.82,0,0,NA,NA,0,115.6
3090,30/10/2021,84040039,SANRIO_LOCAL,สายคล้องหน้ากากXO MASKSTRAP 2,women,personal-accessories,1,0,0,0,179,83.18,83.18,0,0,NA,NA,0,61.18
3091,3/3/2022,790767,PLAYBOY,Pink Crossbody bag ST-BS211PB038-PK,sports,accessories,1,0,0,0,3490,978.5,696.71,281.79,281.79,NA,NA,228.23,230.34
3092,15/1/2022,25989984,SULWHASOO,Gentle Cleansing Oil 200 mL,beauty,mens-grooming,2,0,0,0,1400,1046.73,2093.46,0,0,NA,NA,0,681.68
3093,31/12/2021,MJT51021009,MUJI,Gel Ink Pen Set 5148990009 Black Size 0.5,jewelry-watches,pens,2,0,0,0,150,92.52,185.04,0,0,NA,NA,0,NA
3094,26/3/2022,86409193,CERTAINTY,Adult Wipes Dark Blue,home,eldery-care,1,0,0,0,99,92.52,63.64,28.88,28.88,NA,NA,15.4,-14.65
3095,12/1/2022,78284845,mommylicious_juice,Ginger with Honey & Lime 300 mL,home,eldery-care,2,0,0,0,89,83.18,166.36,0,0,NA,NA,0,70.69
3096,13/11/2021,12211517,GOODY,Prong Mini Claw Clip 4 CT Brown-Black,women,hat-hair-accessories,1,0,0,0,95,88.79,88.79,0,0,NA,NA,0,31.08
3097,12/6/2022,16761,NAVIFORCE,Brown Naviforce,tion-campaign,flash-deal-7-jul-22,1,0,0,0,3450,925.23,925.23,0,0,NA,NA,0,168.3
3098,14/11/2021,22873019,FITBIT,VERSA 2 SE SMOKE WOVEN,gadgets-tech,wearable-gadgets,1,0,0,0,8990,4196.26,4196.26,0,0,NA,NA,0,625.76
3099,26/3/2022,MJT51273149,MUJI,Smooth Gel Ink Ballpoint Pen Knock Type Set 10 PENKNSET05 ,jewelry-watches,pens,1,0,0,0,250,210.28,210.28,0,0,NA,NA,0,NA
3100,2/1/2022,70630152,NIKE,W SWOOSH FUTURA BRA BL L,sports,apparels,1,0,0,0,1300,602.8,572.66,30.14,30.14,NA,NA,0,-95.52
3101,17/1/2022,242640,JBL,"Bluetooth Speaker (3W,Black) Go 2",gadgets-tech,audio-hifi,2,0,0,0,1490,738.32,1457.95,18.69,18.69,NA,NA,20,79
3102,6/3/2022,32273724,SANRIO_LOCAL,ที่คาดผมKT,women,personal-accessories,1,0,0,0,458,92.52,92.52,0,0,NA,NA,0,32.52
3103,4/4/2022,1083545,BIOTHERM,HOMME AQUAPOWER Oligo-Thermal Fresh Gel Ultra Cleansing 125 mL เจลล้างหน้า HOMME AQUAPOWER Oligo-Thermal Fresh Gel Ultra Cleansing ขนาด 125 มล.,beauty,mens-grooming,1,0,0,0,1100,873.83,873.83,0,0,NA,NA,0,159.39
3104,2/1/2022,1009387,XIAOMI,Black - Electric Shaver S500 electric shaver with built-in battery,beauty,mens-grooming,1,0,0,0,1590,1027.1,1027.1,0,0,NA,NA,0,76.93
3105,22/11/2021,86204354,marks___spencer_online,Gift Set Sweet Delight Bag XS 2021,home,groceries-2,1,0,0,0,899,840.19,840.19,0,0,NA,NA,0,504.11
3106,27/4/2022,10646496,UNDERGEAR,Sport Bra 1603MJCSB02,sports,apparels,2,0,0,1,495,228.97,228.97,0,0,NA,NA,0,71.22
3107,24/10/2021,18005189,GoodAge,Hyper Salt Toothpaste 30503 White 120 g,home,eldery-care,4,0,0,0,55,41.12,164.48,0,0,NA,NA,0,42.55
3108,5/12/2021,76267246,PRAMY,Wet Cat Food - Chicken Pouch 70 g,home,pet-supplies,2,0,0,0,29,27.1,54.2,0,0,NA,NA,0,18.24
3109,13/9/2021,70415285,ZWILLING,กระทะWOK BALLARINI MURANO 30CM,tion-campaign,flash-deal-5-jul-22,2,0,0,0,5290,2966.36,5280.12,652.6,652.6,NA,NA,0,1455.3
3110,5/10/2021,23814394,PIGEON,ชุดของขวัญเด็ก PPSU STAR,kids,baby-sets,11,0,0,0,950,799.07,8789.77,0,0,NA,NA,0,2412.34
3111,25/5/2022,830692,cpd_ideas,Floor 6 Cat Condo Multicolor,tion-campaign,flash-deal-7-jul-22,1,0,0,0,1560,985.98,985.98,0,0,NA,NA,0,232.1
3112,21/2/2022,6929466,CLINIQUE,CLINIQUE for Men Aloe Shave Gel ,beauty,mens-grooming,5,0,0,0,950,887.85,4439.25,0,0,NA,NA,0,1109.82
3113,17/12/2021,10587706,GOODY,Rubberband Black,women,hat-hair-accessories,1,0,0,0,115,90.65,90.65,0,0,NA,NA,0,29.79
3114,1/6/2022,901648,ADIDAS,Black ADIDAS RUN ARM B G Running Arm Band,sports,equipments,1,0,0,0,800,373.83,373.83,0,0,NA,NA,0,48
3115,10/1/2022,MJT51339180,MUJI,Pp Cable Case 5232207613 White,gadgets-tech,computers,2,0,0,0,59,55.14,110.28,0,0,NA,NA,0,NA
3116,21/2/2022,853315,LOTUS,Fano Mattress White Size 6 FT.,tion-campaign,flash-deal-2-jul-22,1,0,0,0,54557,7467.29,7467.29,0,0,NA,NA,0,1757.8
3117,18/9/2021,31319256,SKIN1004,Madagascar Centella Light Cleansing Oil 200 mL,beauty,mens-grooming,1,0,0,0,890,643.93,643.93,0,0,NA,NA,0,204.79
3118,22/2/2022,738267,Moving,Pink-Kids Bike 16 in Star Unicorn Steel,sports,equipments,1,0,0,0,5000,2327.1,2327.1,0,0,NA,NA,0,597.6
3119,13/10/2021,16273740,PiPPER STANDARD,น้ำยาล้างจานถุงเติมกลิ่นซิตรัส,tion-campaign,flash-deal-5-jul-22,3,0,0,0,169,157.94,315.88,157.94,157.94,NA,NA,0,178.55
3120,9/12/2021,75908423,SHISEIDO,Men Face Cleanser 125 mL,beauty,mens-grooming,2,0,0,0,990,832.71,936.89,728.53,728.53,NA,NA,779.53,-354.55
3121,28/9/2021,84128812,marks___spencer_online,Peanut Butter Crunchy,home,groceries-2,1,0,0,0,159,148.6,148.6,0,0,NA,NA,0,61.82
3122,25/2/2022,84028723,XIAOMI,MI SMART BAND 6,gadgets-tech,wearable-gadgets,3,0,0,0,3099,1112.15,3336.45,0,0,NA,NA,0,334.5
3123,20/12/2021,33021232,la_roche_posay_online,EFFACLAR SERUM 30 ML,tion-campaign,flash-deal-2-jul-22,5,0,0,0,1300,1032.71,4523.45,640.1,640.1,0,467.29,184.91,758.6
3124,5/3/2022,16814462,CERTAINTY,กางเกงอนามัย Day Pants ไซส์ L จำนวน 34 ชิ้น x 4 แพ็ค (ยกลัง),home,eldery-care,1,0,0,0,1799,1587.85,1357.62,230.23,230.23,158.79,71.45,0,28.51
3125,8/4/2022,16655393,ESQUIRE,หมอนหนุน Contour Memory Foam สีขาว,tion-campaign,flash-deal-6-jul-22,2,0,0,0,2790,653.27,1306.54,0,0,NA,NA,0,782.16
3126,9/10/2021,83689765,SANRIO,Bedding Sheet Hello Kitty Stberry 3.5 Ft. Red Twin,tion-campaign,flash-deal-7-jul-22,4,0,0,1,1700,794.39,2303.73,120.09,79.44,NA,NA,0,1643.49
3127,30/9/2021,76267246,PRAMY,Wet Cat Food - Chicken Pouch 70 g,home,pet-supplies,1,0,0,0,29,27.1,27.1,0,0,NA,NA,0,9.12
3128,7/10/2021,678822,ADIDAS,adidas TRAINING Prime Tee Women White FL8784,sports,apparels,1,0,0,0,800,276.64,276.64,0,0,NA,NA,0,35.52
3129,21/9/2021,2596532,BIOTHERM,FORCE SUPREME CLEANSER T125ML,beauty,mens-grooming,4,0,0,2,1500,1261.68,2393.96,129.4,129.4,NA,NA,0,445.5
